team,player,goals_12mo,n_pens_12mo,last_goal_date,goals_24mo
Algeria,Zineddine Belaïd,1,0,2025-12-31,1
Andorra,Guillaume López,1,0,2025-10-14,1
Andorra,Ian Olivera,1,0,2025-10-11,1
Andorra,Moisés San Nicolás,1,0,2025-10-11,1
Angola,Ary Papel,1,0,2025-10-08,1
Angola,Jonathan Buatu,1,0,2025-10-08,1
Angola,M'Bala Nzola,1,0,2025-09-09,1
Angola,Show,1,0,2025-12-22,1
Angola,Zini,1,0,2025-09-09,1
Armenia,Grant-Leon Ranos,1,0,2025-09-09,1
Aruba,Diederick Luydens,1,0,2025-06-04,1
Australia,Aziz Behich,1,0,2025-06-05,1
Australia,Connor Metcalfe,1,0,2025-06-10,1
Australia,Mitch Duke,1,0,2025-06-10,1
Austria,Nikolaus Wurmbrand,1,0,2025-10-09,1
Azerbaijan,Emin Mahmudov,1,1,2025-09-09,1
Azerbaijan,Renat Dadaşov,1,0,2025-11-16,1
Barbados,Devonte Richards,1,0,2025-06-10,1
Barbados,Omani Leacock,1,1,2025-06-04,1
Belarus,German Barkovsky,1,1,2025-09-05,1
Belarus,Gleb Kuchko,1,0,2025-10-12,1
Belarus,Nikita Demchenko,1,0,2025-11-15,1
Belarus,Valeri Gromyko,1,0,2025-11-15,1
Belgium,Alexis Saelemaekers,1,0,2025-11-18,1
Belgium,Arthur Theate,1,0,2025-09-04,1
Belgium,Brandon Mechele,1,0,2025-11-18,1
Belgium,Malick Fofana,1,0,2025-09-04,1
Belgium,Nicolas Raskin,1,0,2025-09-07,1
Benin,Andréas Hountondji,1,0,2025-09-09,1
Benin,Hassane Imourane,1,0,2025-09-09,1
Benin,Junior Olaitan,1,0,2025-09-09,1
Benin,Tosin Aiyegun,1,0,2025-10-10,1
Benin,Yohan Roche,1,0,2025-12-27,1
Bermuda,Julian Carpenter,1,0,2025-06-04,1
Bermuda,Kane Crichlow,1,0,2025-09-09,1
Bermuda,Kole Hall,1,0,2025-06-04,1
Bermuda,Ne-Jai Tucker,1,0,2025-11-18,1
Bosnia and Herzegovina,Benjamin Tahirović,1,0,2025-09-06,1
Bosnia and Herzegovina,Esmir Bajraktarević,1,0,2025-11-15,1
Bosnia and Herzegovina,Kerim Alajbegović,1,0,2025-09-06,1
Bosnia and Herzegovina,Nihad Mujakić,1,0,2025-09-06,1
Bosnia and Herzegovina,Nikola Katić,1,0,2025-10-09,1
Bosnia and Herzegovina,Samed Baždar,1,0,2025-09-06,1
Botswana,Segolame Boy,1,0,2025-10-14,1
Brazil,Bruno Guimarães,1,0,2025-09-04,1
Brazil,Estêvão Willian,1,0,2025-09-04,1
Bulgaria,Filip Krastev,1,0,2025-11-18,1
Bulgaria,Georgi Rusev,1,0,2025-11-18,1
Bulgaria,Radoslav Kirilov,1,0,2025-10-11,1
Burkina Faso,Arsène Kouassi,1,0,2025-12-31,1
Burkina Faso,Cyriaque Irié,1,0,2025-09-05,1
Burkina Faso,Georgi Minoungou,1,0,2025-12-24,1
Cameroon,Arthur Avom,1,0,2025-09-04,1
Cameroon,Georges-Kévin Nkoudou,1,0,2025-09-04,1
Cameroon,Junior Tchamadeu,1,0,2026-01-04,1
Cameroon,Karl Etta Eyong,1,0,2025-12-24,1
Cameroon,Moumi Ngamaleu,1,0,2025-10-08,1
Canada,Niko Sigur,1,0,2025-06-17,1
Canada,Promise David,1,0,2025-06-17,1
Canada,Tani Oluwaseyi,1,0,2025-06-17,1
Cape Verde,Jovane Cabral,1,0,2025-09-04,1
Cape Verde,Sidny Lopes Cabral,1,0,2025-10-08,1
